district_code,state_name,district_name_2016,district_name_2017_onwards,canonical_name,notes
734,Mizoram,,Gaurela Pendra Marwahi,Gaurela Pendra Marwahi,"new district code, only appears 2017 onwards"
737,Mizoram,,Malerkotla,Malerkotla,"new district code, only appears 2017 onwards"
738,Mizoram,,Vijayanagar,Vijayanagar,"new district code, only appears 2017 onwards"
244,Nagaland,Dimapur,Dimapur,Dimapur,
245,Nagaland,Kohima,Kohima,Kohima,
246,Nagaland,Mokokchung,Mokokchung,Mokokchung,
247,Nagaland,Mon,Mon,Mon,
248,Nagaland,Phek,Phek,Phek,
249,Nagaland,Tuensang,Tuensang,Tuensang,
250,Nagaland,Wokha,Wokha,Wokha,
251,Nagaland,Zunheboto,Zunheboto,Zunheboto,
613,Nagaland,Peren,Peren,Peren,
614,Nagaland,Kiphire,Kiphire,Kiphire,
615,Nagaland,Longleng,Longleng,Longleng,
344,Odisha,Anugul,Anugul,Anugul,
345,Odisha,Balangir,Balangir,Balangir,
346,Odisha,Baleshwar,Baleshwar,Baleshwar,
347,Odisha,Bargarh,Bargarh,Bargarh,
348,Odisha,Bhadrak,Bhadrak,Bhadrak,
349,Odisha,Boudh,Boudh,Boudh,
350,Odisha,Cuttack,Cuttack,Cuttack,
351,Odisha,Deogarh,Deogarh,Deogarh,
352,Odisha,Dhenkanal,Dhenkanal,Dhenkanal,
353,Odisha,Gajapati,Gajapati,Gajapati,
354,Odisha,Ganjam,Ganjam,Ganjam,
355,Odisha,Jagatsinghapur,Jagatsinghapur,Jagatsinghapur,
356,Odisha,Jajapur,Jajapur,Jajapur,
357,Odisha,Jharsuguda,Jharsuguda,Jharsuguda,
358,Odisha,Kalahandi,Kalahandi,Kalahandi,
359,Odisha,Kandhamal,Kandhamal,Kandhamal,
360,Odisha,Kendrapara,Kendrapara,Kendrapara,
361,Odisha,Kendujhar,Kendujhar,Kendujhar,
362,Odisha,Khordha,Khordha,Khordha,
363,Odisha,Koraput,Koraput,Koraput,
364,Odisha,Malkangiri,Malkangiri,Malkangiri,
365,Odisha,Mayurbhanj,Mayurbhanj,Mayurbhanj,
366,Odisha,Nabarangpur,Nabarangpur,Nabarangpur,
367,Odisha,Nayagarh,Nayagarh,Nayagarh,
368,Odisha,Nuapada,Nuapada,Nuapada,
369,Odisha,Puri,Puri,Puri,
370,Odisha,Rayagada,Rayagada,Rayagada,
371,Odisha,Sambalpur,Sambalpur,Sambalpur,
372,Odisha,Sonepur,Sonepur,Sonepur,
373,Odisha,Sundargarh,Sundargarh,Sundargarh,
598,Puducherry,Karaikal,Karaikal,Karaikal,
600,Puducherry,Pondicherry,Pondicherry,Pondicherry,
27,Punjab,Amritsar,Amritsar,Amritsar,
28,Punjab,Bathinda,Bathinda,Bathinda,
29,Punjab,Faridkot,Faridkot,Faridkot,
30,Punjab,Fatehgarh Sahib,Fatehgarh Sahib,Fatehgarh Sahib,
31,Punjab,Ferozepur,Ferozepur,Ferozepur,
32,Punjab,Gurdaspur,Gurdaspur,Gurdaspur,
33,Punjab,Hoshiarpur,Hoshiarpur,Hoshiarpur,
34,Punjab,Jalandhar,Jalandhar,Jalandhar,
35,Punjab,Kapurthala,Kapurthala,Kapurthala,
36,Punjab,Ludhiana,Ludhiana,Ludhiana,
37,Punjab,Mansa,Mansa,Mansa,
38,Punjab,Moga,Moga,Moga,
39,Punjab,Sri Muktsar Sahib,Sri Muktsar Sahib,Sri Muktsar Sahib,
40,Punjab,Shahid Bhagat Singh Nagar,Shahid Bhagat Singh Nagar,Shahid Bhagat Singh Nagar,
41,Punjab,Patiala,Patiala,Patiala,
42,Punjab,Rupnagar,Rupnagar,Rupnagar,
43,Punjab,Sangrur,Sangrur,Sangrur,
605,Punjab,Barnala,Barnala,Barnala,
608,Punjab,S.A.S Nagar,S.A.S Nagar,S.A.S Nagar,
609,Punjab,Tarn Taran,Tarn Taran,Tarn Taran,
651,Punjab,Fazilka,Fazilka,Fazilka,
662,Punjab,Pathankot,Pathankot,Pathankot,
747,Punjab,,Konaseema,Konaseema,"new district code, only appears 2017 onwards"
86,Rajasthan,Ajmer,Ajmer,Ajmer,
87,Rajasthan,Alwar,Alwar,Alwar,
88,Rajasthan,Banswara,Banswara,Banswara,
89,Rajasthan,Baran,Baran,Baran,
90,Rajasthan,Barmer,Barmer,Barmer,
91,Rajasthan,Bharatpur,Bharatpur,Bharatpur,
92,Rajasthan,Bhilwara,Bhilwara,Bhilwara,
93,Rajasthan,Bikaner,Bikaner,Bikaner,
94,Rajasthan,Bundi,Bundi,Bundi,
95,Rajasthan,Chittorgarh,Chittorgarh,Chittorgarh,
96,Rajasthan,Churu,Churu,Churu,
97,Rajasthan,Dausa,Dausa,Dausa,
98,Rajasthan,Dholpur,Dholpur,Dholpur,
99,Rajasthan,Dungarpur,Dungarpur,Dungarpur,
100,Rajasthan,Ganganagar,Ganganagar,Ganganagar,
101,Rajasthan,Hanumangarh,Hanumangarh,Hanumangarh,
102,Rajasthan,Jaipur,Jaipur,Jaipur,
103,Rajasthan,Jaisalmer,Jaisalmer,Jaisalmer,
104,Rajasthan,Jalore,Jalore,Jalore,
105,Rajasthan,Jhalawar,Jhalawar,Jhalawar,
106,Rajasthan,Jhunjhunu,Jhunjhunu,Jhunjhunu,
107,Rajasthan,Jodhpur,Jodhpur,Jodhpur,
108,Rajasthan,Karauli,Karauli,Karauli,
109,Rajasthan,Kota,Kota,Kota,
110,Rajasthan,Nagaur,Nagaur,Nagaur,
111,Rajasthan,Pali,Pali,Pali,
112,Rajasthan,Rajsamand,Rajsamand,Rajsamand,
113,Rajasthan,Sawai Madhopur,Sawai Madhopur,Sawai Madhopur,
114,Rajasthan,Sikar,Sikar,Sikar,
115,Rajasthan,Sirohi,Sirohi,Sirohi,
116,Rajasthan,Tonk,Tonk,Tonk,
117,Rajasthan,Udaipur,Udaipur,Udaipur,
629,Rajasthan,Pratapgarh,Pratapgarh,Pratapgarh,
783,Rajasthan,Jaipur (Gramin),,Jaipur (Gramin),"code only in 2016 data, missing from 2017+ file"
225,Sikkim,Gangtok,Gangtok,Gangtok,
226,Sikkim,Mangan,Mangan,Mangan,
227,Sikkim,Namchi,Namchi,Namchi,
228,Sikkim,Gyalshing,Gyalshing,Gyalshing,
751,Sikkim,,Palnadu,Palnadu,"new district code, only appears 2017 onwards"
568,Tamil Nadu,Chennai,Chennai,Chennai,
569,Tamil Nadu,Coimbatore,Coimbatore,Coimbatore,
570,Tamil Nadu,Cuddalore,Cuddalore,Cuddalore,
571,Tamil Nadu,Dharmapuri,Dharmapuri,Dharmapuri,
572,Tamil Nadu,Dindigul,Dindigul,Dindigul,
573,Tamil Nadu,Erode,Erode,Erode,
574,Tamil Nadu,Kanchipuram,Kanchipuram,Kanchipuram,
575,Tamil Nadu,Kanniyakumari,Kanniyakumari,Kanniyakumari,
576,Tamil Nadu,Karur,Karur,Karur,
577,Tamil Nadu,Krishnagiri,Krishnagiri,Krishnagiri,
578,Tamil Nadu,Madurai,Madurai,Madurai,
579,Tamil Nadu,Nagapattinam,Nagapattinam,Nagapattinam,
580,Tamil Nadu,Namakkal,Namakkal,Namakkal,
581,Tamil Nadu,Perambalur,Perambalur,Perambalur,
582,Tamil Nadu,Pudukkottai,Pudukkottai,Pudukkottai,
583,Tamil Nadu,Ramanathapuram,Ramanathapuram,Ramanathapuram,
584,Tamil Nadu,Salem,Salem,Salem,
585,Tamil Nadu,Sivaganga,Sivaganga,Sivaganga,
586,Tamil Nadu,Thanjavur,Thanjavur,Thanjavur,
587,Tamil Nadu,The Nilgiris,The Nilgiris,The Nilgiris,
588,Tamil Nadu,Theni,Theni,Theni,
589,Tamil Nadu,Thiruvallur,Thiruvallur,Thiruvallur,
590,Tamil Nadu,Thiruvarur,Thiruvarur,Thiruvarur,
591,Tamil Nadu,Tiruchirappalli,Tiruchirappalli,Tiruchirappalli,
592,Tamil Nadu,Tirunelveli,Tirunelveli,Tirunelveli,
593,Tamil Nadu,Tiruvannamalai,Tiruvannamalai,Tiruvannamalai,
594,Tamil Nadu,Tuticorin,Tuticorin,Tuticorin,
595,Tamil Nadu,Vellore,Vellore,Vellore,
596,Tamil Nadu,Villupuram,Villupuram,Villupuram,
597,Tamil Nadu,Virudhunagar,Virudhunagar,Virudhunagar,
610,Tamil Nadu,Ariyalur,Ariyalur,Ariyalur,
634,Tamil Nadu,Tiruppur,Tiruppur,Tiruppur,
739,Tamil Nadu,,Bajali,Bajali,"new district code, only appears 2017 onwards"
740,Tamil Nadu,,Eastern West Khasi Hills,Eastern West Khasi Hills,"new district code, only appears 2017 onwards"
741,Tamil Nadu,,Pakyong,Pakyong,"new district code, only appears 2017 onwards"
742,Tamil Nadu,,Soreng,Soreng,"new district code, only appears 2017 onwards"
743,Tamil Nadu,,Parvathipuram Manyam,Parvathipuram Manyam,"new district code, only appears 2017 onwards"
501,Telangana,Adilabad,Adilabad,Adilabad,
507,Telangana,Hyderabad,Hyderabad,Hyderabad,
508,Telangana,Karimnagar,Karimnagar,Karimnagar,
509,Telangana,Khammam,Khammam,Khammam,
512,Telangana,Mahabubnagar,Mahabubnagar,Mahabubnagar,
513,Telangana,Medak,Medak,Medak,
514,Telangana,Nalgonda,Nalgonda,Nalgonda,
516,Telangana,Nizamabad,Nizamabad,Nizamabad,
518,Telangana,Ranga Reddy,,Ranga Reddy,"code only in 2016 data, missing from 2017+ file"
522,Telangana,Warangal,Warangal,Warangal,
685,Telangana,,Kamareddy,Kamareddy,"new district code, only appears 2017 onwards"
687,Telangana,,Jayashankar Bhupalapally,Jayashankar Bhupalapally,"new district code, only appears 2017 onwards"
688,Telangana,,Mahabubabad,Mahabubabad,"new district code, only appears 2017 onwards"
690,Telangana,,Bhadradri Kothagudem,Bhadradri Kothagudem,"new district code, only appears 2017 onwards"
692,Telangana,,Siddipet,Siddipet,"new district code, only appears 2017 onwards"
694,Telangana,,Nagarkurnool,Nagarkurnool,"new district code, only appears 2017 onwards"
695,Telangana,,Jogulamba Gadwal,Jogulamba Gadwal,"new district code, only appears 2017 onwards"
697,Telangana,,Yadadri Bhuvanagiri,Yadadri Bhuvanagiri,"new district code, only appears 2017 onwards"
698,Telangana,,Vikarabad,Vikarabad,"new district code, only appears 2017 onwards"
699,Telangana,,Kumuram Bheem Asifabad,Kumuram Bheem Asifabad,"new district code, only appears 2017 onwards"
701,Telangana,,Charki Dadri,Charki Dadri,"new district code, only appears 2017 onwards"
702,Telangana,,Kalimpong,Kalimpong,"new district code, only appears 2017 onwards"
728,Telangana,,Khawzawl,Khawzawl,"new district code, only appears 2017 onwards"
729,Telangana,,Kallakurichi,Kallakurichi,"new district code, only appears 2017 onwards"
463,The Dadra And Nagar Haveli And Daman And Diu,Daman,Daman,Daman,
464,The Dadra And Nagar Haveli And Daman And Diu,Diu,Diu,Diu,
465,The Dadra And Nagar Haveli And Daman And Diu,Dadra And Nagar Haveli,Dadra And Nagar Haveli,Dadra And Nagar Haveli,
269,Tripura,Dhalai,Dhalai,Dhalai,
270,Tripura,North Tripura,North Tripura,North Tripura,
271,Tripura,South Tripura,South Tripura,South Tripura,
272,Tripura,West Tripura,West Tripura,West Tripura,
652,Tripura,Khowai,Khowai,Khowai,
653,Tripura,Sepahijala,,Sepahijala,"code only in 2016 data, missing from 2017+ file"
654,Tripura,Gomati,Gomati,Gomati,
655,Tripura,Unakoti,Unakoti,Unakoti,
118,Uttar Pradesh,Agra,Agra,Agra,
119,Uttar Pradesh,Aligarh,Aligarh,Aligarh,
120,Uttar Pradesh,Prayagraj,Prayagraj,Prayagraj,
121,Uttar Pradesh,Ambedkar Nagar,Ambedkar Nagar,Ambedkar Nagar,
122,Uttar Pradesh,Auraiya,Auraiya,Auraiya,
123,Uttar Pradesh,Azamgarh,Azamgarh,Azamgarh,
124,Uttar Pradesh,Baghpat,Baghpat,Baghpat,
125,Uttar Pradesh,Bahraich,Bahraich,Bahraich,
126,Uttar Pradesh,Ballia,Ballia,Ballia,
127,Uttar Pradesh,Balrampur,Balrampur,Balrampur,
128,Uttar Pradesh,Banda,Banda,Banda,
129,Uttar Pradesh,Barabanki,Bara Banki,Bara Banki,name spelling changed between eras
130,Uttar Pradesh,Bareilly,Bareilly,Bareilly,
131,Uttar Pradesh,Basti,Basti,Basti,
132,Uttar Pradesh,Bijnor,Bijnor,Bijnor,
133,Uttar Pradesh,Budaun,Budaun,Budaun,
134,Uttar Pradesh,Bulandshahr,Bulandshahr,Bulandshahr,
135,Uttar Pradesh,Chandauli,Chandauli,Chandauli,
136,Uttar Pradesh,Chitrakoot,Chitrakoot,Chitrakoot,
137,Uttar Pradesh,Deoria,Deoria,Deoria,
138,Uttar Pradesh,Etah,Etah,Etah,
139,Uttar Pradesh,Etawah,Etawah,Etawah,
140,Uttar Pradesh,Ayodhya,Ayodhya,Ayodhya,
141,Uttar Pradesh,Farrukhabad,Farrukhabad,Farrukhabad,
142,Uttar Pradesh,Fatehpur,Fatehpur,Fatehpur,
143,Uttar Pradesh,Firozabad,Firozabad,Firozabad,
144,Uttar Pradesh,Gautam Buddha Nagar,Gautam Buddha Nagar,Gautam Buddha Nagar,
145,Uttar Pradesh,Ghaziabad,Ghaziabad,Ghaziabad,
146,Uttar Pradesh,Ghazipur,Ghazipur,Ghazipur,
147,Uttar Pradesh,Gonda,Gonda,Gonda,
148,Uttar Pradesh,Gorakhpur,Gorakhpur,Gorakhpur,
149,Uttar Pradesh,Hamirpur,Hamirpur,Hamirpur,
150,Uttar Pradesh,Hardoi,Hardoi,Hardoi,
151,Uttar Pradesh,Jalaun,Jalaun,Jalaun,
152,Uttar Pradesh,Jaunpur,Jaunpur,Jaunpur,
153,Uttar Pradesh,Jhansi,Jhansi,Jhansi,
154,Uttar Pradesh,Amroha,Amroha,Amroha,
155,Uttar Pradesh,Kannauj,Kannauj,Kannauj,
156,Uttar Pradesh,Kanpur Dehat,Kanpur Dehat,Kanpur Dehat,
157,Uttar Pradesh,Kanpur Nagar,Kanpur Nagar,Kanpur Nagar,
158,Uttar Pradesh,Kaushambi,Kaushambi,Kaushambi,
159,Uttar Pradesh,Kheri,Kheri,Kheri,
160,Uttar Pradesh,Kushi Nagar,Kushinagar,Kushinagar,name spelling changed between eras
161,Uttar Pradesh,Lalitpur,Lalitpur,Lalitpur,
162,Uttar Pradesh,Lucknow,Lucknow,Lucknow,
163,Uttar Pradesh,Hathras,Hathras,Hathras,
164,Uttar Pradesh,Maharajganj,Mahrajganj,Mahrajganj,name spelling changed between eras
165,Uttar Pradesh,Mahoba,Mahoba,Mahoba,
166,Uttar Pradesh,Mainpuri,Mainpuri,Mainpuri,
167,Uttar Pradesh,Mathura,Mathura,Mathura,
168,Uttar Pradesh,Mau,Mau,Mau,
169,Uttar Pradesh,Meerut,Meerut,Meerut,
170,Uttar Pradesh,Mirzapur,Mirzapur,Mirzapur,
171,Uttar Pradesh,Moradabad,Moradabad,Moradabad,
172,Uttar Pradesh,Muzaffarnagar,Muzaffarnagar,Muzaffarnagar,
173,Uttar Pradesh,Pilibhit,Pilibhit,Pilibhit,
174,Uttar Pradesh,Pratapgarh,Pratapgarh,Pratapgarh,
175,Uttar Pradesh,Rae Bareli,Rae Bareli,Rae Bareli,
176,Uttar Pradesh,Rampur,Rampur,Rampur,
177,Uttar Pradesh,Saharanpur,Saharanpur,Saharanpur,
178,Uttar Pradesh,Sant Kabeer Nagar,Sant Kabir Nagar,Sant Kabir Nagar,name spelling changed between eras
179,Uttar Pradesh,Bhadohi,Bhadohi,Bhadohi,
180,Uttar Pradesh,Shahjahanpur,Shahjahanpur,Shahjahanpur,
181,Uttar Pradesh,Shravasti,Shrawasti,Shrawasti,name spelling changed between eras
182,Uttar Pradesh,Siddharth Nagar,Siddharthnagar,Siddharthnagar,name spelling changed between eras
183,Uttar Pradesh,Sitapur,Sitapur,Sitapur,
184,Uttar Pradesh,Sonbhadra,Sonbhadra,Sonbhadra,
185,Uttar Pradesh,Sultanpur,Sultanpur,Sultanpur,
186,Uttar Pradesh,Unnao,Unnao,Unnao,
187,Uttar Pradesh,Varanasi,Varanasi,Varanasi,
633,Uttar Pradesh,Kasganj,Kasganj,Kasganj,
640,Uttar Pradesh,Amethi,Amethi,Amethi,
659,Uttar Pradesh,Sambhal,Sambhal,Sambhal,
660,Uttar Pradesh,Shamli,Shamli,Shamli,
661,Uttar Pradesh,Hapur,Hapur,Hapur,
45,Uttarakhand,Almora,Almora,Almora,
46,Uttarakhand,Bageshwar,Bageshwar,Bageshwar,
47,Uttarakhand,Chamoli,Chamoli,Chamoli,
48,Uttarakhand,Champawat,Champawat,Champawat,
49,Uttarakhand,Dehradun,Dehradun,Dehradun,
50,Uttarakhand,Haridwar,Haridwar,Haridwar,
51,Uttarakhand,Nainital,Nainital,Nainital,
52,Uttarakhand,Pauri Garhwal,Pauri Garhwal,Pauri Garhwal,
53,Uttarakhand,Pithoragarh,Pithoragarh,Pithoragarh,
54,Uttarakhand,Rudra Prayag,Rudra Prayag,Rudra Prayag,
55,Uttarakhand,Tehri Garhwal,Tehri Garhwal,Tehri Garhwal,
56,Uttarakhand,Udam Singh Nagar,Udam Singh Nagar,Udam Singh Nagar,
57,Uttarakhand,Uttar Kashi,Uttar Kashi,Uttar Kashi,
303,West Bengal,24 Paraganas North,North 24 Parganas,North 24 Parganas,name spelling changed between eras
304,West Bengal,24 Paraganas South,South 24 Parganas,South 24 Parganas,name spelling changed between eras
305,West Bengal,Bankura,Bankura,Bankura,
306,West Bengal,Purba Bardhaman,Purba Bardhaman,Purba Bardhaman,
307,West Bengal,Birbhum,Birbhum,Birbhum,
308,West Bengal,Coochbehar,Cooch Behar,Cooch Behar,name spelling changed between eras
309,West Bengal,Darjeeling,Darjeeling,Darjeeling,
310,West Bengal,Dinajpur Dakshin,Dakshin Dinajpur,Dakshin Dinajpur,name spelling changed between eras
311,West Bengal,Dinajpur Uttar,Uttar Dinajpur,Uttar Dinajpur,name spelling changed between eras
312,West Bengal,Hooghly,Hooghly,Hooghly,
313,West Bengal,Howrah,Howrah,Howrah,
314,West Bengal,Jalpaiguri,Jalpaiguri,Jalpaiguri,
315,West Bengal,Kolkata,Kolkata,Kolkata,
316,West Bengal,Maldah,Malda,Malda,name spelling changed between eras
317,West Bengal,Medinipur East,Purba Medinipur,Purba Medinipur,name spelling changed between eras
318,West Bengal,Medinipur West,Paschim Medinipur,Paschim Medinipur,name spelling changed between eras
319,West Bengal,Murshidabad,Murshidabad,Murshidabad,
320,West Bengal,Nadia,Nadia,Nadia,
321,West Bengal,Purulia,Purulia,Purulia,
664,West Bengal,Alipurduar,Alipurduar,Alipurduar,
703,West Bengal,Jhargram,Jhargram,Jhargram,
704,West Bengal,Paschim Bardhaman,Paschim Bardhaman,Paschim Bardhaman,
711,West Bengal,,Kakching,Kakching,"new district code, only appears 2017 onwards"
712,West Bengal,,Kangpokpi,Kangpokpi,"new district code, only appears 2017 onwards"
691,,,Sangareddy,Sangareddy,"new district code, only appears 2017 onwards"
693,,,Wanaparthy,Wanaparthy,"new district code, only appears 2017 onwards"
696,,,Suryapet,Suryapet,"new district code, only appears 2017 onwards"
745,,,Alluri Sitharama Raju,Alluri Sitharama Raju,"new district code, only appears 2017 onwards"
746,,,Kakinada,Kakinada,"new district code, only appears 2017 onwards"
